AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000005844,Clare Heights,Ballyclare,54.74926211,-6.01328664,327977,390847
700000005845,The Cloughan,Ballyclare,54.74818473,-6.01717574,327730,390720
700000005846,Thornditch,Ballyclare,54.74335536,-6.02901256,326983,390161
700000005847,Harmony Lodge,Ballyclare,54.73848396,-6.0388765,326363,389601
700000005848,Anderson Park,Ballyclare,54.73779445,-6.04179797,326177,389519
700000005849,First Donegore,Antrim,54.72312508,-6.09323133,322909,387795
700000005850,Parkgate Village,Antrim,54.72245289,-6.09562219,322757,387716
700000005851,Paradise Park,Antrim,54.72133112,-6.1002846,322460,387583
700000005852,Lower Burnside,Antrim,54.71799847,-6.15086454,319211,387125
700000005853,Rathmore School,Antrim,54.71628712,-6.15825196,318740,386922
700000005854,Randalstown Road,Antrim,54.71986455,-6.22214244,314613,387214
700000005855,Enkalon,Antrim,54.72153625,-6.22955035,314131,387388
700000005856,Sandgate Lodge,Antrim,54.72540906,-6.25125254,312722,387784
700000005857,Milltown Road,Antrim,54.73129556,-6.26262691,311973,388421
700000005858,Edenduff Cottages,Antrim,54.73312489,-6.26740803,311660,388617
700000005859,Maghereagh Road,Antrim,54.73493807,-6.27233,311338,388811
700000005860,Castle Road,Antrim,54.73784849,-6.28051308,310803,389122
700000005861,Mcmanus Lane,Antrim,54.74124067,-6.2948728,309869,389477
700000005862,Castle Lodge,Antrim,54.74478013,-6.30253549,309366,389859
